"Journal","Citations"
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",11
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
